SET search_path TO public, s1;
-- Test CREATE TABLE AS statement
CREATE TABLE t2 (n, l, d) USING tcleam AS SELECT n, l, d FROM t WHERE n > 6;
SELECT ctid, * FROM t2;
  ctid  |  n  |           l           |              d               
--------+-----+-----------------------+------------------------------
 (0,1)  | 8   | Text input number 4   | Sat Jun 27 22:56:50 2020 PDT
 (0,2)  | 10  | Text input number 5   | Sun Jun 28 22:56:50 2020 PDT
 (0,3)  | 12  | Text input number 6   | Mon Jun 29 22:56:50 2020 PDT
 (0,4)  | 14  | Text input number 7   | Tue Jun 30 22:56:50 2020 PDT
 (0,5)  | 16  | Text input number 8   | Wed Jul 01 22:56:50 2020 PDT
 (0,6)  | 18  | Text input number 9   | Thu Jul 02 22:56:50 2020 PDT
 (0,7)  | 20  | Text input number 10  | Fri Jul 03 22:56:50 2020 PDT
 (0,8)  | 22  | Text input number 11  | Sat Jul 04 22:56:50 2020 PDT
 (0,9)  | 24  | Text input number 12  | Sun Jul 05 22:56:50 2020 PDT
 (0,10) | 26  | Text input number 13  | Mon Jul 06 22:56:50 2020 PDT
 (0,11) | 28  | Text input number 14  | Tue Jul 07 22:56:50 2020 PDT
 (0,12) | 30  | Text input number 15  | Wed Jul 08 22:56:50 2020 PDT
 (0,13) | 32  | Text input number 16  | Thu Jul 09 22:56:50 2020 PDT
 (0,14) | 34  | Text input number 17  | Fri Jul 10 22:56:50 2020 PDT
 (0,15) | 36  | Text input number 18  | Sat Jul 11 22:56:50 2020 PDT
 (0,16) | 38  | Text input number 19  | Sun Jul 12 22:56:50 2020 PDT
 (0,17) | 40  | Text input number 20  | Mon Jul 13 22:56:50 2020 PDT
 (0,18) | 42  | Text input number 21  | Tue Jul 14 22:56:50 2020 PDT
 (0,19) | 44  | Text input number 22  | Wed Jul 15 22:56:50 2020 PDT
 (0,20) | 46  | Text input number 23  | Thu Jul 16 22:56:50 2020 PDT
 (0,21) | 48  | Text input number 24  | Fri Jul 17 22:56:50 2020 PDT
 (0,22) | 50  | Text input number 25  | Sat Jul 18 22:56:50 2020 PDT
 (0,23) | 52  | Text input number 26  | Sun Jul 19 22:56:50 2020 PDT
 (0,24) | 54  | Text input number 27  | Mon Jul 20 22:56:50 2020 PDT
 (0,25) | 56  | Text input number 28  | Tue Jul 21 22:56:50 2020 PDT
 (0,26) | 58  | Text input number 29  | Wed Jul 22 22:56:50 2020 PDT
 (0,27) | 60  | Text input number 30  | Thu Jul 23 22:56:50 2020 PDT
 (0,28) | 62  | Text input number 31  | Fri Jul 24 22:56:50 2020 PDT
 (0,29) | 64  | Text input number 32  | Sat Jul 25 22:56:50 2020 PDT
 (0,30) | 66  | Text input number 33  | Sun Jul 26 22:56:50 2020 PDT
 (0,31) | 68  | Text input number 34  | Mon Jul 27 22:56:50 2020 PDT
