SET search_path TO public, s1;
-- Test opertor classes
SELECT * FROM t WHERE n >= 50 ORDER BY n DESC;
  p  |  n  |           l           |              d               
-----+-----+-----------------------+------------------------------
 100 | 200 | Text input number 100 | Thu Oct 01 22:56:50 2020 PDT
  99 | 198 | Text input number 99  | Wed Sep 30 22:56:50 2020 PDT
  98 | 196 | Text input number 98  | Tue Sep 29 22:56:50 2020 PDT
  97 | 194 | Text input number 97  | Mon Sep 28 22:56:50 2020 PDT
  96 | 192 | Text input number 96  | Sun Sep 27 22:56:50 2020 PDT
  95 | 190 | Text input number 95  | Sat Sep 26 22:56:50 2020 PDT
  94 | 188 | Text input number 94  | Fri Sep 25 22:56:50 2020 PDT
  93 | 186 | Text input number 93  | Thu Sep 24 22:56:50 2020 PDT
  92 | 184 | Text input number 92  | Wed Sep 23 22:56:50 2020 PDT
  91 | 182 | Text input number 91  | Tue Sep 22 22:56:50 2020 PDT
  90 | 180 | Text input number 90  | Mon Sep 21 22:56:50 2020 PDT
  89 | 178 | Text input number 89  | Sun Sep 20 22:56:50 2020 PDT
  88 | 176 | Text input number 88  | Sat Sep 19 22:56:50 2020 PDT
  87 | 174 | Text input number 87  | Fri Sep 18 22:56:50 2020 PDT
  86 | 172 | Text input number 86  | Thu Sep 17 22:56:50 2020 PDT
  85 | 170 | Text input number 85  | Wed Sep 16 22:56:50 2020 PDT
  84 | 168 | Text input number 84  | Tue Sep 15 22:56:50 2020 PDT
  83 | 166 | Text input number 83  | Mon Sep 14 22:56:50 2020 PDT
  82 | 164 | Text input number 82  | Sun Sep 13 22:56:50 2020 PDT
  81 | 162 | Text input number 81  | Sat Sep 12 22:56:50 2020 PDT
  80 | 160 | Text input number 80  | Fri Sep 11 22:56:50 2020 PDT
  79 | 158 | Text input number 79  | Thu Sep 10 22:56:50 2020 PDT
  78 | 156 | Text input number 78  | Wed Sep 09 22:56:50 2020 PDT
  77 | 154 | Text input number 77  | Tue Sep 08 22:56:50 2020 PDT
  76 | 152 | Text input number 76  | Mon Sep 07 22:56:50 2020 PDT
  75 | 150 | Text input number 75  | Sun Sep 06 22:56:50 2020 PDT
  74 | 148 | Text input number 74  | Sat Sep 05 22:56:50 2020 PDT
  73 | 146 | Text input number 73  | Fri Sep 04 22:56:50 2020 PDT
  72 | 144 | Text input number 72  | Thu Sep 03 22:56:50 2020 PDT
  71 | 142 | Text input number 71  | Wed Sep 02 22:56:50 2020 PDT
  70 | 140 | Text input number 70  | Tue Sep 01 22:56:50 2020 PDT
  69 | 138 | Text input number 69  | Mon Aug 31 22:56:50 2020 PDT
  68 | 136 | Text input number 68  | Sun Aug 30 22:56:50 2020 PDT
  67 | 134 | Text input number 67  | Sat Aug 29 22:56:50 2020 PDT
  66 | 132 | Text input number 66  | Fri Aug 28 22:56:50 2020 PDT
  65 | 130 | Text input number 65  | Thu Aug 27 22:56:50 2020 PDT
  64 | 128 | Text input number 64  | Wed Aug 26 22:56:50 2020 PDT
  63 | 126 | Text input number 63  | Tue Aug 25 22:56:50 2020 PDT
  62 | 124 | Text input number 62  | Mon Aug 24 22:56:50 2020 PDT
  61 | 122 | Text input number 61  | Sun Aug 23 22:56:50 2020 PDT
  60 | 120 | Text input number 60  | Sat Aug 22 22:56:50 2020 PDT
  59 | 118 | Text input number 59  | Fri Aug 21 22:56:50 2020 PDT
  58 | 116 | Text input number 58  | Thu Aug 20 22:56:50 2020 PDT
  57 | 114 | Text input number 57  | Wed Aug 19 22:56:50 2020 PDT
  56 | 112 | Text input number 56  | Tue Aug 18 22:56:50 2020 PDT
  55 | 110 | Text input number 55  | Mon Aug 17 22:56:50 2020 PDT
  54 | 108 | Text input number 54  | Sun Aug 16 22:56:50 2020 PDT
  53 | 106 | Text input number 53  | Sat Aug 15 22:56:50 2020 PDT
  52 | 104 | Text input number 52  | Fri Aug 14 22:56:50 2020 PDT
  51 | 102 | Text input number 51  | Thu Aug 13 22:56:50 2020 PDT
